BirdID;BirthDate;NestID;SocialMother;SocialFather;GeneticMother;GenMumConfidence;GeneticFather;GenDadConfidence
76;16/09/1987;;;;;;;
77;16/09/1987;;;;;;;
78;20/09/1987;;;;;;;
79;24/09/1987;;;;;;;
80;09/10/1987;;;;;;;
81;15/10/1987;;;;;;;
82;17/10/1987;;;;;;;
83;20/10/1987;;;;;;;
84;21/10/1987;;;;;;;
85;26/10/1987;;;;;;;
86;12/11/1987;;;;;;;
87;22/11/1987;;;;;;;
88;24/11/1987;;;;;;;
89;24/11/1987;;;;;;;
90;26/11/1987;;;;;;;
91;05/12/1985;;;;;;;
92;12/11/1984;;;;;;;
93;22/07/1984;;;;;;;
94;22/07/1984;;;;;;;
95;28/05/1985;;;;;;;
96;28/02/1986;;;;;;;
97;05/03/1986;;;;;;;
98;31/05/1986;;;;;;;
99;13/03/1986;;;;;;;
100;29/07/1986;;;;;;;
101;29/07/1986;;;;;;;
102;05/08/1986;;;;;;;
103;05/08/1986;;;;;;;
104;10/08/1986;;;;;;;
105;13/08/1986;;;;;;;
106;16/09/1986;;;;;;;
107;17/09/1986;;;;;;;
108;06/09/1986;;;;;;;
109;04/09/1985;;;;;;;
110;28/08/1986;;;;;;;
111;29/08/1986;;;;;;;
112;31/08/1986;;;;;;;
113;29/10/1988;;;;;;;
114;29/10/1988;;;;;;;
115;10/12/1988;;;;;;;
116;10/12/1988;;;;;;;
117;25/01/1989;1325;224;223;;;;
118;25/01/1989;1325;224;223;;;;
119;25/01/1989;1328;244;243;;;;
120;24/01/1989;;;;;;;
121;08/02/1989;1332;242;240;;;;
122;08/02/1989;1316;230;246;;;;
123;22/02/1989;1335;1687;245;;;;
124;22/02/1989;1335;1687;245;;;;
125;14/06/1989;1231;227;226;;;;
126;26/06/1989;1232;227;226;;;;
127;15/03/1989;1233;227;226;;;;
128;09/04/1989;;;;;;;
129;20/04/1989;1329;244;243;;;;
130;24/05/1989;1317;230;246;;;;
131;19/07/1989;1326;224;223;;;;
132;17/07/1989;1326;224;223;;;;
133;19/07/1989;1333;235;241;;;;
134;26/07/1989;1330;244;243;;;;
135;26/07/1989;1330;244;243;;;;
136;16/08/1989;1318;230;246;;;;
137;20/09/1989;1321;239;222;;;;
138;20/09/1989;1321;239;222;;;;
139;30/08/1989;1334;235;241;;;;
140;25/10/1989;1331;244;243;;;;
141;08/11/1989;1327;224;223;;;;
142;08/11/1989;1327;224;223;;;;
143;22/11/1989;1319;227;226;;;;
144;15/11/1989;1320;2925;236;;;;
145;24/01/1990;1342;74;234;;;;
146;24/01/1990;1342;74;234;;;;
147;24/01/1990;1345;118;231;;;;
148;07/02/1990;1340;61;247;;;;
149;07/02/1990;1340;61;247;;;;
150;26/07/1989;1336;;;;;;
151;28/02/1990;1362;235;241;;;;
152;28/02/1990;1362;235;241;;;;
153;28/02/1990;1337;230;246;;;;
154;28/02/1990;1350;117;119;;;;
155;07/03/1990;1364;1687;124;;;;
156;07/03/1990;1357;244;243;;;;
157;07/03/1990;1357;244;243;;;;
158;14/03/1990;1351;126;123;;;;
159;07/02/1990;1354;224;223;;;;
160;16/12/1988;;;;;;;
161;17/02/1989;;;;;;;
162;11/03/1989;;;;;;;
163;24/03/1988;;;;;;;
164;02/09/1989;;;;;;;
165;14/11/1989;;;;;;;
166;19/12/1989;;;;;;;
167;16/01/1989;;;;;;;
168;15/07/1989;;;;;;;
169;13/09/1988;;;;;;;
170;15/07/1989;;;;;;;
171;16/01/1989;;;;;;;
172;15/07/1989;;;;;;;
173;22/01/1990;;;;;;;
174;13/09/1988;;;;;;;
175;14/01/1990;;;;;;;
176;13/09/1988;;;;;;;
177;13/01/1990;;;;;;;
178;13/09/1988;;;;;;;
179;16/05/1990;1346;118;231;;;;
180;23/05/1990;1360;242;240;;;;
181;20/06/1990;1358;244;243;;;;
182;27/06/1990;1343;;;;;;
183;04/07/1990;1355;224;223;;;;
184;26/11/1988;;;;;;;
185;23/11/1988;;;;;;;
186;13/11/1989;;;;;;;
187;13/11/1989;;;;;;;
188;02/10/1989;;;;;;;
189;23/11/1988;;;;;;;
190;05/09/1989;;;;;;;
191;04/09/1989;;;;;;;
192;03/09/1989;;;;;;;
193;03/09/1989;;;;;;;
194;03/09/1989;;;;;;;
195;02/09/1989;;;;;;;
196;02/09/1989;;;;;;;
197;01/09/1989;;;;;;;
198;01/09/1989;;;;;;;
199;02/12/1986;;;;;;;
200;10/09/1988;;;;;;;
201;30/08/1989;;;;;;;
202;01/07/1989;;;;;;;
203;20/12/1988;;;;;;;
204;12/03/1988;;;;;;;
205;22/02/1989;;;;;;;
206;24/09/1988;;;;;;;
207;22/11/1988;;;;;;;
208;23/01/1989;;;;;;;
209;25/02/1989;;;;;;;
210;29/12/1987;;;;;;;
211;10/12/1987;;;;;;;
212;18/01/1988;;;;;;;
213;06/07/1988;;;;;;;
214;10/07/1988;;;;;;;
215;27/07/1988;;;;;;;
216;27/07/1988;;;;;;;
217;02/08/1988;;;;;;;
218;03/08/1988;;;;;;;
219;11/08/1988;;;;;;;
220;12/08/1988;;;;;;;
221;25/06/1988;;;;;;;
222;24/09/1987;;;;;;;
223;24/09/1987;;;;;;;
224;23/09/1988;;;;;;;
225;27/06/1988;;;;;;;
226;19/11/1987;;;;;;;
227;25/09/1988;;;;;;;
228;24/09/1988;;;;;;;
229;26/09/1987;;;;;;;
230;26/09/1987;;;;;;;
231;19/11/1987;;;;;;;
232;19/11/1987;;;;;;;
233;28/06/1988;;;;;;;
234;26/09/1988;;;;;;;
235;26/09/1988;;;;;;;
236;26/09/1988;;;;;;;
237;28/06/1988;;;;;;;
238;17/09/1988;;;;;;;
239;27/09/1988;;;;;;;
240;27/09/1988;;;;;;;
241;28/09/1987;;;;;;;
242;28/09/1988;;;;;;;
243;28/09/1988;;;;;;;
244;28/09/1987;;;;;;;
245;29/09/1987;;;;;;;
246;28/09/1988;;;;;;;
247;30/09/1987;;;;;;;
248;30/09/1987;;;;;;;
249;29/09/1988;;;;;;;
250;19/09/1988;;;;;;;
251;08/09/1989;;;;;;;
252;14/08/1990;;;;;;;
253;18/07/1990;1349;132;122;;;;
254;18/07/1990;1349;132;122;;;;
255;08/08/1990;1353;135;131;;;;
256;08/08/1990;1353;135;131;;;;
257;11/07/1990;1363;235;241;;;;
258;22/08/1990;1338;230;246;;;;
259;29/08/1990;1347;118;231;;;;
260;29/08/1990;1347;118;231;;;;
261;05/09/1990;1359;244;243;;;;
262;26/09/1990;1344;;;;;;
263;26/09/1990;1356;224;223;;;;
264;26/09/1990;1356;224;223;;;;
265;17/10/1990;1352;126;123;;;;
266;17/10/1990;1352;126;123;;;;
267;19/12/1990;1348;118;231;;;;
268;19/12/1990;1361;242;240;;;;
269;19/12/1990;1341;61;247;;;;
270;19/12/1990;1339;230;246;;;;
271;02/01/1991;1382;;;;;;
272;14/02/1991;;;;;;;
273;13/02/1991;1248;;;;;;
274;13/02/1991;1379;;;;;;
275;20/02/1991;1368;;;;;;
276;20/02/1991;;;;;;;
277;06/03/1991;1388;;;;;;
278;06/03/1991;1383;;;;;;
279;15/05/1991;1373;;;;;;
280;10/04/1991;1369;;;;;;
281;15/05/1991;1373;;;;;;
282;10/04/1991;1386;;;;;;
283;11/05/1990;;;;;;;
284;05/06/1991;1375;;;;;;
285;03/07/1991;1377;;;;;;
286;03/07/1991;1370;;;;;;
287;03/07/1991;1370;;;;;;
288;17/07/1991;1384;;;;;;
289;31/07/1991;1387;;;;;;
290;31/07/1991;1387;;;;;;
291;31/07/1991;1389;;;;;;
292;13/03/1991;1365;;;;;;
293;13/09/1988;;;;;;;
294;13/09/1988;;;;;;;
295;16/01/1989;;;;;;;
296;25/03/1990;;;;;;;
297;16/01/1989;;;;;;;
298;13/09/1988;;;;;;;
299;29/06/1990;;;;;;;
300;29/06/1990;;;;;;;
301;30/06/1990;;;;;;;
302;30/06/1990;;;;;;;
303;30/06/1989;;;;;;;
304;21/05/1983;;;;;;;
305;01/07/1989;;;;;;;
306;01/07/1990;;;;;;;
307;16/07/1990;;;;;;;
308;10/08/1990;;;;;;;
309;10/08/1990;;;;;;;
310;02/09/1990;;;;;;;
311;16/07/1990;;;;;;;
312;01/07/1990;;;;;;;
313;30/06/1989;;;;;;;
314;30/06/1990;;;;;;;
315;01/07/1989;;;;;;;
316;29/06/1990;;;;;;;
317;29/06/1990;;;;;;;
318;29/06/1990;;;;;;;
319;29/06/1990;;;;;;;
320;29/06/1989;;;;;;;
321;29/06/1990;;;;;;;
322;29/06/1989;;;;;;;
323;29/06/1990;;;;;;;
324;29/06/1989;;;;;;;
325;13/09/1988;;;;;;;
326;16/01/1989;;;;;;;
327;13/09/1988;;;;;;;
328;16/01/1989;;;;;;;
329;13/09/1988;;;;;;;
330;25/03/1990;;;;;;;
331;13/09/1988;;;;;;;
332;31/01/1990;;;;;;;
333;13/09/1988;;;;;;;
334;31/12/1996;;;;;;;
335;27/08/2003;738;1222;1684;1222;100;1287;100
336;02/10/1991;1371;;;;;;
337;02/10/1991;1371;;;;;;
338;02/10/1991;1366;;;;;;
339;02/10/1991;1380;;;;;;
340;02/10/1991;1380;;;;;;
341;02/10/1991;1385;;;;;;
342;23/10/1991;1367;;;;;;
343;06/11/1991;1374;;;;;;
344;20/07/1990;;;;;;;
345;25/12/1991;1372;;;;;;
346;01/01/1992;1397;;;;;;
347;01/01/1992;1397;;;;;;
348;08/01/1992;1394;;;;;;
349;08/01/1992;1391;;;;;;
350;15/01/1992;1395;;;;;;
351;26/02/1992;1393;;;;;;
352;26/02/1992;1393;;;;;;
353;26/02/1992;1396;;;;;;
354;08/01/1992;1394;;;;;;
355;01/01/1992;1397;;;;;;
356;01/01/1992;1397;;;;;;
357;23/10/1991;1381;;;;;;
358;15/07/1992;1392;;;;;;
359;05/08/1992;1398;;;;;;
360;01/08/1992;;;;;;;
361;01/08/1992;;;;;;;
362;11/09/1992;;;;;;;
363;01/10/1992;;;;;;;
364;01/10/1992;;;;;;;
365;01/10/1992;;;;;;;
366;26/10/1992;;;;;;;
367;26/10/1992;;;;;;;
368;02/12/1992;;;;;;;
369;16/12/1992;;;;;;;
370;25/12/1992;;;;;;;
371;20/01/1993;;;;;;;
372;20/01/1993;;;;;;;
373;25/12/1992;;;;;;;
374;25/02/1993;;;;;;;
375;25/02/1993;;;;;;;
376;14/03/1993;;;;;;;
377;17/03/1993;;;;;;;
378;07/06/1993;;;;;;;
379;09/06/1993;;;;;;;
380;15/07/1993;;;;;;;
381;11/06/1994;;;;;;;
382;01/12/1993;;;;;;;
383;14/11/1993;;;;;;;
384;14/04/1994;;;;;;;
385;14/04/1994;;;;;;;
386;22/05/1994;;;;;;;
387;10/06/1994;;;;;;;
388;10/06/1994;;;;;;;
389;07/06/1998;;;;;;;
390;11/06/1994;;;;;;;
391;09/09/1993;;;;;;;
392;12/06/1994;;;;;;;
393;05/06/1994;;;;;;;
394;10/09/1994;;;;;;;
395;11/09/1993;;;;;;;
396;21/06/1994;;;;;;;
397;24/01/1994;;;;;;;
398;19/04/1994;;;;;;;
399;17/04/1994;;;;;;;
400;17/04/1994;;;;;;;
401;17/04/1994;;;;;;;
402;18/04/1994;;;;;;;
403;14/12/1993;;;;;;;
404;14/12/1993;;;;;;;
405;15/12/1993;;;;;;;
406;19/04/1994;;;;;;;
407;19/04/1994;;;;;;;
408;20/04/1994;;;;;;;
409;23/04/1994;;;;;;;
410;23/04/1994;;;;;;;
411;23/04/1994;;;;;;;
412;23/04/1994;;;;;;;
413;24/04/1994;;;;;;;
414;24/04/1994;;;;;;;
415;24/04/1994;;;;;;;
416;26/04/1994;;;;;;;
417;22/12/1993;;;;;;;
418;26/04/1994;;;;;;;
419;28/04/1994;;;;;;;
420;28/04/1994;;;;;;;
421;24/12/1993;;;;;;;
422;28/04/1994;;;;;;;
423;28/04/1994;;;;;;;
424;28/12/1993;;;;;;;
425;02/05/1994;;;;;;;
426;14/08/1974;;;;;;;
427;19/03/1975;;;;;;;
428;12/03/1977;;;;;;;
429;13/03/1978;;;;;;;
430;22/07/1984;;;;;;;
431;11/09/1986;;;;;;;
432;14/09/1986;;;;;;;
433;21/09/1986;;;;;;;
434;22/09/1986;;;;;;;
435;13/09/1986;;;;;;;
436;10/12/1992;;;;500;100;494;100
437;10/12/1992;;;;;;;
438;07/08/1992;;;;;;;
439;07/08/1992;;;;800;70;42;70
440;07/08/1992;;;;;;2843;71
441;07/08/1992;;;;;;2843;73
442;08/08/1992;;;;;;2764;35
443;08/08/1992;;;;;;2764;40
444;11/12/1992;;;;464;100;25;100
445;11/12/1992;;;;500;100;494;100
446;10/08/1992;;;;233;40;173;40
447;08/08/1992;;;;;;;
448;08/08/1992;;;;;;;
449;09/08/1992;;;;207;100;65;100
450;09/08/1992;;;;800;44;;
451;09/08/1992;;;;799;32;28;32
452;13/12/1992;;;;430;53;;
453;10/08/1992;;;;;;51;100
454;10/08/1992;;;;;;2756;48
455;10/08/1992;;;;;;215;35
456;10/08/1992;;;;;;173;43
457;10/08/1992;;;;;;2763;28
458;11/08/1992;;;;171;57;170;57
459;11/08/1992;;;;207;100;65;100
460;14/12/1992;;;;462;64;77;64
461;11/08/1992;;;;;;77;82
462;11/08/1992;;;;;;65;100
463;13/07/1993;;;;;;;
464;10/08/1992;;;;;;216;91
465;11/08/1992;;;;;;77;80
466;11/08/1993;;;;213;45;453;94
467;11/08/1992;;;;;;176;95
468;11/08/1992;;;;;;176;100
469;11/08/1992;;;;;;176;100
470;12/08/1992;;;;237;49;;
471;12/08/1992;;;;237;45;;
472;15/12/1992;;;;78;50;;
473;12/08/1992;;;;;;73;57
474;12/08/1992;;;;168;57;73;57
475;12/08/1992;;;;168;57;73;57
476;12/08/1992;;;;;;208;47
477;14/08/1992;;;;;;77;81
478;12/08/1992;;;;;;73;55
479;16/08/1992;;;;;;73;55
480;13/08/1993;;;;;;;
481;17/05/1993;;;;;;;
482;13/08/1992;;;;;;;
483;17/12/1992;;;;;;;
484;14/08/1992;;;;;;;
485;14/08/1992;;;;;;;
486;14/08/1992;;;;;;;
487;31/05/1993;;;;;;;
488;14/08/1992;;;;;;;
489;14/08/1992;;;;;;;
490;14/08/1993;;;;;;;
491;17/05/1993;;;;;;;
492;17/05/1993;;;;;;;
493;15/08/1992;;;;;;;
494;02/07/1990;;;;;;;
495;08/07/1993;;;;;;;
496;08/07/1993;;;;;;446;95
497;08/07/1993;;;;443;50;33;61
498;10/11/1993;;;;189;32;;
499;08/07/1993;;;;;;21;86
500;03/05/1991;;;;799;39;28;39
501;09/04/1994;;;;594;100;29;100
502;08/07/1993;;;;297;100;478;100
503;08/07/1993;;;;;;54;58
504;08/07/1993;;;;2749;55;;
505;08/07/1993;;;;2845;94;75;94
506;08/07/1993;;;;2845;94;75;94
507;08/07/1993;;;;294;34;;
508;08/07/1993;;;;;;331;100
509;08/07/1993;;;;82;40;;
510;11/07/1993;;;;462;100;465;100
511;11/07/1993;;;;;;;
512;11/07/1993;;;;;;216;99
513;14/11/1993;;;;;;;
514;02/03/1992;;;;;;;
515;14/04/1994;;;;;;;
516;13/07/1993;;;;;;;
517;13/07/1993;;;;;;;
518;14/04/1994;;;;;;;
519;13/07/1993;;;;;;;
520;13/07/1994;;;;;;;
521;17/05/1994;;;;628;81;498;81
522;16/07/1993;;;;;;33;60
523;16/07/1993;;;;;;33;35
524;16/07/1993;;;;;;33;65
525;16/07/1993;;;;;;;
526;17/05/1994;;;;528;100;178;100
527;17/05/1994;;;;64;100;178;100
528;16/07/1993;;;;64;100;178;100
529;16/07/1993;;;;;;;
530;16/07/1993;;;;;;;
531;16/07/1993;;;;;;73;62
532;19/04/1994;;;;;;;
533;20/04/1994;;;;;;;
534;19/07/1993;;;;;;;
535;19/07/1993;;;;;;;
536;20/07/1993;;;;;;;
537;20/07/1993;;;;;;;
538;19/07/1993;;;;;;;
539;21/07/1993;;;;;;478;100
540;21/07/1993;;;;;;446;34
541;21/07/1993;;;;;;22;39
542;21/07/1993;;;;;;208;100
543;21/07/1993;;;;;;;
544;21/07/1993;;;;;;478;70
545;23/07/1993;;;;;;;
546;23/07/1993;;;;;;;
547;23/07/1993;;;;;;;
548;24/07/1993;;;;;;;
549;24/07/1993;;;;82;94;331;94
550;24/07/1993;;;;82;82;51;82
551;24/07/1993;;;;;;75;36
552;24/07/1993;;;;;;478;73
553;24/07/1993;;;;;;;
554;24/07/1993;;;;199;100;221;100
555;24/07/1993;;;;79;31;465;31
556;24/07/1993;;;;;;77;54
557;24/07/1993;;;;;;448;88
558;24/07/1993;;;;430;100;51;100
559;24/07/1993;;;;;;331;100
560;24/07/1993;;;;;;65;70
561;24/07/1993;;;;;;;
562;27/07/1993;;;;1859;100;1686;100
563;19/07/1994;;;;508;100;602;100
564;02/05/1994;;;;;;;
565;03/05/1994;;;;;;;
566;29/12/1993;;;;;;;
567;03/05/1994;;;;;;;
568;10/05/1994;;;;;;;
569;10/05/1994;;;;;;;
570;10/05/1994;;;;;;;
571;12/05/1994;;;;;;;
572;12/05/1994;;;;;;;
573;12/05/1994;;;;;;;
574;13/05/1994;;;;;;;
575;13/05/1994;;;;;;;
576;09/01/1994;;;;;;;
577;09/01/1994;;;;;;;
578;15/05/1994;;;;;;;
579;16/05/1994;;;;;;;
580;11/01/1994;;;;;;;
581;19/05/1994;;;;;;;
582;19/05/1994;;;;;;;
583;19/05/1994;;;;;;;
584;20/05/1994;;;;;;;
585;20/05/1994;;;;;;;
586;21/05/1994;;;;;;;
587;21/05/1994;;;;;;;
588;21/05/1994;;;;;;;
589;21/05/1994;;;;;;;
590;22/05/1994;;;;;;;
591;22/05/1994;;;;;;;
592;22/05/1994;;;;;;;
594;08/07/1993;;;;189;95;75;95
595;08/07/1993;;;;;;473;91
596;08/07/1993;;;;297;100;478;100
597;09/04/1994;;;;;;293;58
598;09/07/1993;;;;800;35;;
599;09/07/1993;;;;297;100;298;100
600;10/07/1993;;;;294;26;;
601;10/07/1993;;;;294;66;25;66
602;10/07/1993;;;;;;75;100
603;10/07/1993;;;;;;51;100
604;10/07/1993;;;;;;;
605;10/07/1993;;;;213;70;176;70
606;10/07/1993;;;;294;36;;
607;10/07/1993;;;;;;176;100
608;11/07/1993;;;;163;100;448;100
609;11/07/1993;;;;;;;
610;12/07/1993;;;;;;;
611;12/07/1993;;;;;;;
612;13/04/1994;;;;;;;
613;12/07/1993;;;;;;;
614;12/07/1993;;;;;;;
615;13/04/1994;;;;;;;
616;12/07/1993;;;;;;;
617;13/04/1994;;;;;;;
618;13/04/1994;;;;;;;
619;13/07/1993;;;;;;;
620;14/04/1994;;;;;;;
621;14/04/1994;;;;;;;
622;13/07/1993;;;;;;;
623;13/07/1993;;;;;;;
624;14/04/1994;;;;;;;
625;15/04/1994;;;;;;;
626;15/04/1994;;;;;;;
627;17/04/1994;;;;792;39;494;39
628;16/07/1993;;;;;;438;30
629;16/07/1993;;;;;;298;98
630;16/07/1993;;;;;;1862;40
631;17/05/1994;;;;297;100;298;100
632;16/07/1993;;;;;;;
633;16/07/1993;;;;;;73;70
634;17/07/1993;;;;;;33;64
635;17/07/1993;;;;;;331;56
636;17/07/1993;;;;;;;
637;17/07/1993;;;;;;;
638;17/07/1993;;;;;;73;74
639;18/04/1994;;;;543;98;673;98
640;17/07/1993;;;;447;100;448;100
641;17/07/1993;;;;;;;
642;17/07/1993;;;;;;73;60
643;18/07/1993;;;;;;;
644;18/07/1993;;;;;;;
645;18/07/1993;;;;;;;
646;18/07/1993;;;;;;;
647;20/11/1993;;;;;;;
648;18/07/1993;;;;;;;
649;18/07/1993;;;;;;;
650;18/07/1993;;;;;;;
651;18/07/1993;;;;;;;
652;19/07/1993;;;;;;;
653;20/04/1994;;;;;;;
654;19/07/1993;;;;;;;
655;20/04/1994;;;;;;;
656;19/07/1993;;;;;;;
657;19/07/1993;;;;;;;
658;02/07/1990;;;;;;;
659;20/07/1993;;;;;;;
660;20/07/1993;;;;;;;
661;20/07/1993;;;;;;;
662;20/07/1993;;;;;;;
663;21/07/1993;;;;213;96;331;96
664;21/07/1993;;;;464;100;448;100
665;21/07/1993;;;;;;178;98
666;21/07/1993;;;;;;;
667;22/04/1994;;;;530;100;637;100
668;23/04/1994;;;;;;544;100
669;23/07/1993;;;;476;60;;
670;23/07/1993;;;;71;59;;
671;23/07/1993;;;;71;94;208;94
672;25/11/1993;;;;;;478;47
673;24/07/1993;;;;;;208;92
674;24/07/1993;;;;;;;
675;24/07/1993;;;;82;47;;
676;24/07/1993;;;;;;;
677;24/07/1993;;;;;;;
678;24/07/1993;;;;;;208;91
679;25/07/1993;;;;;;465;100
680;25/07/1993;;;;217;63;331;63
681;25/07/1993;;;;;;;
682;03/05/1994;;;;;;;
683;04/05/1994;;;;;;;
684;04/05/1994;;;;;;;
685;04/05/1994;;;;;;;
686;04/05/1994;;;;;;;
687;07/05/1994;;;;;;;
688;08/05/1994;;;;;;;
689;08/05/1994;;;;;;;
690;08/05/1994;;;;;;;
691;09/05/1994;;;;;;;
692;23/05/1994;;;;;;;
693;24/05/1994;;;;;;;
694;24/05/1994;;;;;;;
695;24/05/1994;;;;;;;
696;24/05/1994;;;;;;;
697;29/05/1994;;;;;;;
698;24/01/1994;;;;;;;
699;30/05/1994;;;;;;;
700;30/05/1994;;;;;;;
701;30/05/1994;;;;;;;
702;30/05/1994;;;;;;;
703;25/01/1994;;;;;;;
704;30/05/1994;;;;;;;
705;30/05/1994;;;;;;;
706;31/05/1994;;;;;;;
707;31/05/1994;;;;;;;
708;31/05/1994;;;;;;;
709;14/08/1991;1376;;;;;;
710;02/06/1994;;;;;;;
711;02/06/1994;;;;;;;
712;02/06/1994;;;;;;;
713;02/06/1994;;;;;;;
714;03/06/1994;;;;;;;
715;03/06/1994;;;;;;;
716;29/01/1994;;;;;;;
717;03/06/1994;;;;;;;
718;03/06/1994;;;;;;;
719;03/06/1994;;;;;;;
720;04/06/1994;;;;;;;
721;30/01/1994;;;;;;;
722;05/06/1994;;;;;;;
723;05/06/1994;;;;;;;
724;31/01/1994;;;;;;;
725;31/01/1994;;;;;;;
726;31/01/1994;;;;;;;
727;01/02/1994;;;;;;;
728;03/02/1994;;;;;;;
729;08/06/1994;;;;;;;
730;08/06/1994;;;;;;;
731;08/06/1994;;;;;;;
732;08/06/1994;;;;;;;
733;08/06/1994;;;;;;;
734;09/06/1994;;;;;;;
735;04/02/1994;;;;;;;
736;09/06/1994;;;;;;;
737;09/06/1994;;;;;;;
738;04/02/1994;;;;;;;
739;09/06/1994;;;;;;;
740;09/06/1994;;;;;;;
741;04/02/1994;;;;;;;
742;10/06/1994;;;;;;;
743;10/06/1994;;;;;;;
744;10/06/1994;;;;;;;
745;12/06/1994;;;;;;;
746;12/06/1994;;;;;;;
747;12/06/1994;;;;;;;
748;12/06/1994;;;;;;;
749;13/06/1994;;;;;;;
750;16/06/1994;;;;;;;
751;17/07/1994;;;;;;;
752;18/05/1995;;;;;;;
753;15/03/1995;;;;;;;
754;31/12/1994;;;;;;;
755;31/12/1994;;;;;;;
756;31/12/1994;;;;;;;
757;20/05/1995;;;;;;;
758;08/03/1995;;;;;;;
759;18/05/1995;;;;;;;
760;14/01/1998;;;;;;;
761;19/05/1994;;;;;;;
762;14/06/1995;;;;;;;
763;21/05/1994;;;;;;;
764;21/05/1994;;;;;;;
765;21/05/1994;;;;;;;
766;23/05/1994;;;;;;;
767;23/05/1994;;;;;;;
768;23/05/1994;;;;;;;
769;25/05/1994;;;;;;;
770;25/05/1994;;;;;;;
771;03/07/1994;;;;;;;
772;09/03/1995;;;;;;;
773;09/03/1995;;;;;;;
774;17/06/1994;;;;;;525;75
775;17/06/1994;;;;;;;
776;18/06/1994;;;;461;80;637;64
777;20/06/1994;;;;;;;
778;25/06/1994;;;;;;;
779;27/06/1994;;;;;;;
780;28/06/1994;;;;;;;
781;28/06/1994;;;;;;;
782;09/04/1995;;;;;;;
783;13/07/1994;;;;;;;
784;13/07/1994;;;;;;;
785;14/04/1995;;;;;;;
786;27/07/1994;;;;;;;
787;27/07/1994;;;;;;;
788;26/07/1981;;;;;;;
789;03/10/1980;;;;;;;
790;28/10/1980;;;;;;;
791;01/11/1980;;;;;;;
792;27/03/1982;;;;;;;
793;28/06/1981;;;;;;;
794;06/05/1982;;;;;;;
795;23/08/1981;;;;;;;
796;28/11/1981;;;;;;;
797;27/08/1982;;;;;;;
798;04/04/1982;;;;;;;
799;27/08/1982;;;;;;;
800;23/01/1983;;;;;;;
801;31/12/1994;;;;;;;
802;31/12/1994;;;;;;;
803;31/12/1994;;;;;;;
804;17/07/1994;;;;;;;
805;17/07/1994;;;;;;;
806;13/06/1995;;;;;;;
807;15/03/1995;;;;;;;
808;15/03/1995;;;;;;;
809;14/06/1994;;;;;;;
810;15/06/1995;;;;;;;
811;15/06/1995;;;;;;;
812;12/07/1995;;;;;;;
813;12/07/1995;;;;;;;
814;12/07/1995;;;;;;;
815;27/06/1996;;;;;;;
816;12/07/1995;;;;;;;
817;29/06/1995;;;;;;;
818;29/06/1996;;;;;;;
819;14/01/1996;;;;;;;
820;02/07/1995;;;;;;;
821;19/05/1998;;;;;;;
823;23/05/1994;;;;;;1686;44
824;25/05/1994;;;;;;633;100
825;25/05/1994;;;;;;1862;82
